,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia
0,-150.0,61.0,180.0,171.0,-129.0,-47.0,-129.0,-82.0,76.0,-255.0,-271.0,-262.0,167.0,41.0,-90.0,8
1,-254.0,-222.0,136.0,99.0,198.0,240.0,-60.0,146.0,240.0,6.0,-115.0,-177.0,-16.0,65.0,296.0,-33
